id;autors;fecha_nato
35614;Varina Davis;2013-02-27
35615;William P. Robinson;2008-05-28
35616;The Bcc Bookstore Inc;2013-05-27
35617;Dmitriĭ Nagishkin;1952-09-17
35618;Glenda Daniel;1984-08-27
35619;David C. LeBlanc;2011-08-25
35620;Danling Fu;1915-05-20
35621;Susan Besze Wallace;1927-03-03
35622;David Chidester;2008-05-03
35623;Dwight R. Schuh;1937-11-26
35624;Dallas Willard;1912-09-23
35625;Dorothy Garlock;1994-12-15
35626;Christopher Norris;1931-04-23
35627;Richard L. Daft;2004-03-15
35628;Rob Thompson;1919-12-18
35629;John F. Tanner, Jr.;2004-10-28
35630;Harriett Claire Philmus;1933-03-01
35631;Hubbard H. Cobb;1916-09-25
35632;Bob Hicok;1910-02-01
35633;Leanne Boucher Gill;1972-11-17
35634;Sumaya Shabandar;1910-03-23
35635;Ann Rhiannon;1933-01-23
35636;V.E. Caballo;1936-12-19
35637;Gloria Koenig;2000-05-15
35638;Andrew Hempstead;1930-04-18
35639;Ralf Ellis;1948-07-06
35640;Kasey Rogers;1964-09-07
35641;James Dance;1985-03-31
35642;Tim Tebow;1948-04-27
35643;Willie Perdomo;1953-09-15
35644;Lora Shaner;2017-08-05
35645;The Group of 33;1989-09-03
35646;Etsu Inagaki Sugimoto;1996-04-25
35647;Thomas Cole;1942-07-22
35648;Nicholas Faith;1985-09-24
35649;Christof Koch;2009-06-10
35650;Sanami Matoh;1926-09-07
35651;Florence Hepp Peterson;1973-07-06
35652;Richard H. Carver;1977-11-22
35653;Philip Pauli;1967-11-13
35654;J. A. Clarke;1958-07-18
35655;Talmy Givón;1923-01-19
35656;Forrest C. Pogue;1987-06-07
35657;Waltraud Coles;1954-08-21
35658;John Oehler;1926-12-15
35659;Alan Paton;1974-03-27
35660;Gerald L. Manning;1975-06-09
35661;Deb Kastner;1948-08-06
35662;Kingfisher Publications, plc;1945-12-29
35663;Patricia Reilly Giff;1971-02-18
35664;Gareth Stedman Jones;1973-12-29
35665;Valerie Moran;1907-08-14
35666;Two Leggings;1987-11-17
35667;Russell H. Conwell;1964-06-27
35668;David Stiles;2019-08-06
35669;Ann Cox;1988-04-03
35670;Diane L. Burns;1913-03-03
35671;John Fox;1956-12-16
35672;Courtney A. Kazembe;1907-08-10
35673;Thomas Piketty;1943-12-19
35674;Verl M. Thomas;1900-12-05
35675;THOMAS C. MARAIST;1949-06-14
35676;George Roberts;2003-12-11
35677;Sir William Osler;2018-12-09
35678;George W. Vance;1979-09-19
35679;Ivan Stojmenovic;1991-06-07
35680;Headon Hill;1919-04-22
35681;Gene Horowitz;1909-09-01
35682;Oxford;1933-04-27
35683;Samuel A. Berne;1916-12-15
35684;Jon Evans;1983-01-25
35685;Patricia Lee Gauch;1942-04-03
35686;Phyllis Whetstone Taper;1934-09-20
35687;Yaroslav Trofimov;1951-01-19
35688;Miraca U. M. Gross;1949-07-06
35689;James Cracraft;1962-01-11
35690;David L. Williams;1949-12-21
35691;Connie Weis;2004-04-01
35692;Cy Twombly;2020-10-25
35693;Hubert Jedin;1941-08-11
35694;United States. Bureau of Labor;1974-05-22
35695;Jeremy W. Peters;1991-08-14
35696;Henry H. Hart;1994-11-13
35697;Lewis Browne;1911-08-07
35698;Pearl G. Tarnor;1932-02-13
35699;Craig Newnes;1993-05-30
35700;Joan Farnsley Tribble;1904-10-29
35701;Jimmy Moore;1963-05-02
35702;Frank R. Ricardo;2007-08-06
35703;Manuel Sousa Pereira;1920-02-13
35704;F. Peter Model;1932-02-24
35705;Cheryl Anne Porter;1953-12-08
35706;Thomas J. Csordas;1985-11-18
35707;Peter Hart;1999-06-02
35708;Kenneth Ainslie;1901-11-26
35709;Andrew Ziker;1992-04-21
35710;Colin Rose;1962-07-08
35711;Jean Malaurie;1972-10-27
35712;Ellin Klor;1961-09-04
35713;Sanjay Dhawan;1920-06-17
35714;Jack Stillinger;2018-05-06
35715;Donna Kooler;1964-07-09
35716;Sanami Matō;1994-03-31
35717;Kim J. Vicente;1988-12-14
35718;John Swanton;1996-09-28
35719;Rita James Simon;1994-06-05
35720;Jeff Lammers;2008-07-27
35721;Frank Thomas Bullen;1985-07-09
35722;Bonnie Gair McEwan;1942-04-17
35723;Ralph Barger;1948-02-11
35724;Sheng-Wu He;2017-08-31
35725;Sandra Ziegler;1939-09-08
35726;Michael R. G. Spiller;1923-02-12
35727;John Curtis Samples;2007-05-17
35728;Edwin Balmer;1955-05-06
35729;Malcolm Bosse;1945-06-02
35730;Tom Glazer;1938-11-26
35731;Lilian Moore;1976-08-31
35732;Henry Jenkins III;1930-11-03
35733;David R. Getchell;1977-06-03
35734;Laura Dawn Lewis;1992-12-28
35735;Lynn Q. Troyka;2014-05-21
35736;Gianna Patriarca;1920-11-19
35737;Giuseppe Sergi;1923-02-18
35738;Ivone Margulies;1904-03-01
35739;Renzo Gracie;2000-10-25
35740;Aldo Leopold;1932-03-12
35741;Harold S. Bender;1941-06-20
35742;Daniel Mack;1972-05-23
35743;"Shaughnessy"", ""Professor Emeritus of Business at Columbia University Senior Associate of the Judge Institute of Management Studies John O";1985-10-17
35744;Judith Bluestone;2000-11-23
35745;Melanie Tem;1937-02-14
35746;Trisha Dixon;1934-08-15
35747;Magnus Verbrugge;1939-11-22
35748;Charles Frank Russell;1954-06-19
35749;Paul R. McReynolds;1952-05-16
35750;Martin Gilman Wolcott;2003-07-03
35751;Jerry Snyder;1920-05-10
35752;Kazuo Koike;1968-01-10
35753;Alicia Malone;1932-11-10
35754;John Gresham;1950-05-03
35755;Mason Currey;1927-11-24
35756;Daniel D. Gajski;2016-06-29
35757;Ronaldo Munck;1937-11-15
35758;Frank Inn;1916-01-14
35759;Ethel Lina White;2004-06-30
35760;Susan Plunkett;1900-02-24
35761;Warren A. Trest;1935-04-13
35762;Katharine Tweed;2015-11-12
35763;P. J. Hore;1908-08-02
35764;Bill Simmons;1912-12-29
35765;Leonard Jackson;1960-03-13
35766;Ian W. Walker;1941-08-03
35767;John Strong;1907-08-10
35768;Dennis Gage;1964-11-28
35769;Warren Montag;1936-01-31
35770;Martin R. Dunetz;1945-06-29
35771;Theocritus,;2015-12-22
35772;Bet Borgeson;1937-02-14
35773;Henry Rider Haggard;1927-09-10
35774;Nigel Burroughs;2017-08-04
35775;Clair Colby Olson;1908-05-16
35776;Esther P. Rothman;1974-05-10
35777;Sheldon Leonard;1979-06-11
35778;Richard B. Purdue;1913-04-17
35779;M. Mihkel Mathiesen;1956-10-03
35780;Jeanne Whitehouse Peterson;2009-01-06
35781;Denise D. Nessel;1921-11-02
35782;Hans Reihling;1920-07-28
35783;Tom Brierton;1902-07-01
35784;David McIntyre;1989-12-06
35785;Vikas Gupta;1915-01-10
35786;Bruce Hemming;2011-01-24
35787;Jack Kneece;1917-02-28
35788;Volin;1997-06-05
35789;Suleiman Yasir Suleiman;1976-10-25
35790;Jeremy G. Butler;1981-04-09
35791;Martyn Lloyd-Jones;1977-03-04
35792;Judy Gill;1976-12-07
35793;Paul Valery;1983-10-12
35794;Christy Rishoi;2021-01-10
35795;Allen Amason;1936-10-09
35796;"Clair"", ";1957-10-05
35797;Reese P. Dubin;1931-11-18
35798;Martin Bell;1924-12-02
35799;Peg Strenkowski;1932-02-14
35800;Becca Fitzpatrick;1928-08-28
35801;Carl Brown;2020-03-30
35802;Grant H. Moore, Ph.d.;1919-09-30
35803;Patricia Fargnoli;1998-06-12
35804;Alfred A. Barrios;1973-09-26
35805;Milt Rosko;1939-11-01
35806;Bhakti Seva;1985-11-18
35807;Dennis L. Noble;1931-10-04
35808;Katee Robert;2015-03-03
35809;Stephen P. Hubbell;1945-05-31
35810;Elias G. Abu-Saba;1967-11-25
35811;Erhard S. Gerstenberger;1903-10-15
35812;Alan Belkin;1958-02-27
35813;Jordan Paper;1931-04-21
35814;Keith Robertson;1913-02-06
35815;Charles Sprague Sargent;1918-09-16
35816;June Carver Roberts;1926-03-21
35817;John Slusser;1920-09-17
35818;Hugh Dauncey;1958-06-22
35819;Kathie Lee Gifford;2006-04-08
35820;Mark S. Smith;1979-01-11
35821;Margo Cobb;2005-09-05
35822;Slafter Edmund F (Edmund Farwell);1997-02-06
35823;Esther Kaplan;1902-05-24
35824;Sir Winston S. Churchill;2001-02-20
35825;William Day Crockett;1937-06-04
35826;Susan C. Jenkins;1979-09-30
35827;Michael D. Echanis;2013-02-18
35828;Christine Lemmon;1949-07-11
35829;Don Henley;2011-10-28
35830;George Walker Cearley;1966-09-02
35831;Stover Jenkins;1965-04-28
35832;Ritchie Robertson;1939-08-02
35833;Martin Persson Nilsson;1916-05-11
35834;Julián Marías;2011-05-14
35835;David Ditchburn;1919-03-21
35836;Azzam Tamimi;1950-08-22
35837;Lewis B. Smedes;1948-06-05
35838;Brij V. Lal;1952-11-29
35839;Kat Cantrell;1967-11-02
35840;Atul Vashistha;1983-05-23
35841;Anternational Education;1993-12-26
35842;Richard M. Rives;1909-01-04
35843;John R. Crawford;1940-04-05
35844;Elysa Markowitz;2020-07-01
35845;Jerome Rabow Ph.D;1971-04-04
35846;Thomas J. Schoenbaum;1906-12-24
35847;Mariano Azuela;1965-10-19
35848;Clare Cooley;1903-08-06
35849;H. Davenport;2007-10-09
35850;Louis Napoleon Parker;1984-11-04
35851;Dan Millman;1994-11-06
35852;René Fülöp-Miller;1956-01-13
35853;Fred Rosner;1914-01-17
35854;Leanne McCall Tigert;1920-05-03
35855;Bobbi Brown;2019-06-12
35856;Matthew Lombardi;1904-09-03
35857;Craig Brandon;1939-10-13
35858;Maya Burger;1934-11-20
35859;Lewis Lockwood;1991-05-05
35860;David G. Hewitt;2001-10-17
35861;David Allen;1965-10-25
35862;Teresa Bateman;1998-11-27
35863;Harold Fickett;1964-08-29
35864;Rachel C. Weingarten;1902-05-18
35865;Carrie Shook;1979-01-09
35866;Jason Busby;1909-10-26
35867;M. Evan Brooks;1913-02-28
35868;Susan King;2005-12-23
35869;Fadhlalla Haeri;2001-12-19
35870;Kate L. Turabian;1953-07-23
35871;Joseph A. Pelletier;1937-09-21
35872;"Farrell""]";1980-08-01
35873;Dave Finnigan;2008-05-04
35874;E. Lloyd Biggle;2013-04-18
35875;Judith Bennett;1995-04-22
35876;Alex Alvarez;1941-10-05
35877;Jim Bob Tinsley;1923-05-06
35878;Elise Mcveigh;1966-12-12
35879;Jean Webster;2006-07-20
35880;Albert T. Fromhold;2000-02-13
35881;Robert Balgarnie Young Scott;1916-01-29
35882;Carolyn Dean;1975-04-06
35883;Nikola Tesla;1912-07-06
35884;Janice Kay Johnson;1919-07-08
35885;Cynthia Rowley;1986-07-04
35886;Hans Albrecht Bethe;1979-09-24
35887;Wayne Y. Fujita;1938-03-15
35888;Dennis Thornton;1970-07-21
35889;Erin Fry;1985-06-09
35890;Andrea Spencer;1954-05-27
35891;Yoshio Manaka;1994-02-07
35892;Terry Murray;1951-07-02
35893;Dan Charnas;1919-03-08
35894;Play & Learn Activity Books;1910-07-31
35895;Nicholas Sparks;1936-11-23
35896;Richard Reece;1958-03-30
35897;Sam Fadala;1943-02-05
35898;Paul N. Hehn;1909-01-25
35899;Nancy Lemberger;2013-06-08
35900;Georgina Weldon;2007-03-06
35901;Kenneth H. Rosen;1999-05-11
35902;V. A. Shannon;1913-10-28
35903;S. Hale Humphrey;2018-07-19
35904;Aiko Onishi;1909-09-26
35905;Louise Bellucci Cantoni;1945-06-06
35906;David Bianco;1967-12-14
35907;Gerald Carson;1960-08-19
35908;Tom Hegg;1908-11-06
35909;Banister Fletcher;2011-12-01
35910;Frances Stonor Saunders;1939-06-23
35911;Kate McMullan;1905-02-26
35912;John Johnson;1950-01-29
35913;Russell Noyes;2021-01-11
35914;Callum Coats;1918-09-27
35915;Cornelius Luca;2016-10-09
35916;Noel Jackson;1904-10-03
35917;Naroola;1967-05-21
35918;Elmer G. Leterman;1928-03-06
35919;Michael Bowen;1985-01-05
35920;Gary Goldschneider;1980-07-04
35921;Elspeth Huxley;1969-01-22
35922;Liz Tyner;1987-04-07
35923;Rosario Picardo;1982-11-04
35924;Heinz J. Nowarra;1955-09-10
35925;Robert Frew;1958-03-02
35926;Southwestern Monuments Association;1976-04-29
35927;Sverre Bøe;1905-12-17
35928;Anne Spurgeon;1979-11-23
35929;Will Fritz;1955-09-03
35930;John C. Manning;2016-10-15
35931;Jeffrey Gros;1962-03-16
35932;Karl W. Kenyon;1962-12-21
35933;Franklin S. Helsinger;1946-02-06
35934;Mark W. Tiedemann;1969-12-17
35935;Carla Cassidy;1908-07-02
35936;Lara Vapnyar;1984-04-03
35937;D. Jackson Coleman;1985-03-20
35938;Ray Romar;2020-10-28
35939;Elizabeth Patton;1909-11-30
35940;James Truslow Adams;1921-11-06
35941;William C. Allen;1982-01-29
35942;Lesley Ackland;1979-01-04
35943;Justin Bowra;1943-06-25
35944;Debbie Geller;2015-04-06
35945;Christal Presley;2000-08-30
35946;Nancy Duncan;1989-05-02
35947;Cynthia Perry Zejdlik;1986-06-13
35948;Rosemary Verey;1914-01-13
35949;James Wilson;1925-09-20
35950;Ted Pedersen;1924-07-11
35951;Paul Pope;1984-07-19
35952;Michael Guillen;1910-08-16
35953;Michael T. Murray, N.D.;1979-06-12
35954;Avraham Shapira;1995-05-06
35955;Philippe Claudel;1926-06-14
35956;Ishbel Moore;1923-11-23
35957;Roderick S. Bucknell;1994-11-20
35958;Paul A. Cohen;1900-11-25
35959;Rob Blair;2006-03-18
35960;Louis Plaidy;1907-08-12
35961;Phaidon Press;2020-12-09
35962;Bethany Roberts;1988-08-13
35963;Doreen Tovey;1908-12-01
35964;Gene Edwards;1992-10-19
35965;Ronald H. Spector;1998-09-05
35966;James B. Hartle;1986-01-27
35967;Harriet B. Presser;1949-11-22
35968;Deepi Ahluwalia;1911-04-25
35969;Thomas H. Burgoyne;1974-06-25
35970;Chu-Kia Wang;1993-06-04
35971;Oliver Butterick;1988-05-08
35972;Charles A. Babbush;2021-12-13
35973;Lorraine Anderson;1926-09-17
35974;Brigham D. Madsen;1989-01-10
35975;American College of Sports Medicine;1962-04-04
35976;Sammy Davis, Jr.;1916-12-31
35977;Glenn Leggett;2016-11-16
35978;Laozi;1923-09-06
35979;Kevin Michalowski;1948-01-03
35980;Nikolaus Gihr;1919-01-19
35981;Steve Matchett;1913-02-01
35982;Paula Fredriksen;1939-06-17
35983;Jürgen Kocka;1942-03-07
35984;John Feffer;1956-08-06
35985;Dean Acheson;1995-01-18
35986;Friend, David;1956-07-29
35987;Randall J. Covill;1905-10-25
35988;Victor H. Matthews;1977-01-14
35989;O. R. Cummings;1987-11-19
35990;Max Catto;2020-02-18
35991;Andy Goldsworthy;1966-05-12
35992;Ylva Hernlund;2008-06-16
35993;John N. Gardner;1978-06-17
35994;Newspaper Association;1978-12-03
35995;Kevin Inouye;1956-09-03
35996;William T. Worthington;1987-04-12
35997;Ruben Martinez;1959-09-19
35998;Joanna Mazurkiewicz;1908-06-25
35999;Jane Polley;1953-04-12
36000;Nancy Jo Batman;1934-12-05
36001;Diane Snyder-Haug;1963-01-16
36002;Richard Lynn Stack;1961-01-11
36003;Adam D. Thierer;1904-11-09
36004;Carol Ann Lee;1998-11-22
36005;Tammis K. Groft;1972-12-16
36006;Lewis Turco;2018-09-02
36007;Patricia Highsmith;1976-04-14
36008;Sherwin B. Nuland;1993-09-19
36009;Wolfgang Rumpf;1951-05-02
36010;James Lipton;1970-09-17
36011;Allan B. Jacobs;1973-03-05
36012;Liam Sarsfield;1979-04-05
36013;Todd McFarlane;2008-07-19
36014;Miles G. Batt;1977-07-19
36015;Anne Lindsay Greer;1996-01-21
36016;Richard R. Rosenberger;2009-03-03
36017;Bobbie Kalman;1929-01-30
36018;David Shibley;1923-11-28
36019;Ralph N. McMichael, Jr.;1984-04-20
36020;Robert Hellam;2015-02-08
36021;Head of Department of Political Studies Andrew Sharp;1911-07-14
36022;Nicodemus;1932-06-15
36023;P. Chadwick;2011-10-23
36024;Robert Conquest;1954-11-20
36025;Laurence J. Kotlikoff;1997-05-31
36026;Gillian Bennett;1968-05-11
36027;Laura Berman;1931-03-03
36028;Steve Stoliar;1914-08-11
36029;Alexander B. Rossino;2017-08-17
36030;Sondra Macdonald;2003-05-22
36031;Marie Corelli;1981-06-09
36032;Patsy Neal;1925-10-26
36033;Diana G. Gallagher;1969-10-30
36034;Stephen J. Spignesi;1993-10-03
36035;Carol Susan Steiker;1944-01-04
36036;Mineko Iwasaki;2009-05-13
36037;Susan C. DeWit;1978-09-12
36038;Les Hatton;1903-11-16
36039;Jane Greenfield;1970-03-14
36040;"Lokun Fatunmbi""]";1932-10-12
36041;Raymond Greenlaw;1937-02-08
36042;Susan Crain Bakos;1999-09-22
36043;Kensho Furuya;1950-12-25
36044;Chester Dawson;2006-02-21
36045;Geoff Ayling;1983-03-01
36046;David J. Connor;1985-07-12
36047;Shahram Manouchehri;1944-03-02
36048;Ann Hood;1997-07-26
36049;Edward Lewis Wallant;2000-05-13
36050;W. Owen Lampe;1966-01-08
36051;Fastcase;1999-04-04
36052;Doreen Baingana;1917-06-15
36053;Jeff Lewis;1990-10-21
36054;Aroup Chatterjee;1927-06-14
36055;RaeAnne Thayne;1926-10-15
36056;Waldo S. Lanchester;1988-09-13
36057;Darryl London;1985-03-14
36058;Pierre David;1992-11-29
36059;Teresa E. Harris;1996-06-22
36060;Kaplan Medical;1951-05-04
36061;Lisa Cach;1967-03-19
36062;Kristen Britain;1901-06-17
36063;Stephen Miller;1987-09-16
36064;Richard Lucas;1947-02-15
36065;F. Petito;1930-01-02
36066;Lewis Perdue;1911-12-07
36067;James P. Johnston;1962-02-10
36068;Michele Cushatt;1938-01-21
36069;Ralph Levinson;2011-08-27
36070;Henry Mark Holzer;1933-11-27
36071;Kenneth Boa;1908-06-27
36072;National Building Publications;1912-04-21
36073;David Laskin;1983-03-18
36074;Ann Savours;1934-03-27
36075;Herbert Frank;1952-10-04
36076;Kathleen Vande Kieft;1900-09-05
36077;Sara H. Banks;2006-02-16
36078;Joseph W. Glannon;1926-07-20
36079;Howard H. Stevenson;1907-03-24
36080;Charles Mallory;1909-11-22
36081;Leonard Wibberley;1960-06-14
36082;Terrell;1960-04-05
36083;Philip Massaro;1944-11-11
36084;Earll Murman;2007-01-22
36085;Michael Drosnin;1921-03-27
36086;Charles Kimball;1911-02-13
36087;Jack E. Glatt;1945-01-20
36088;Kristan Korns;2019-03-21
36089;Anthony Zeiss;1975-06-30
36090;Robert John Moore;1991-08-13
36091;John C. Kotz;1970-07-05
36092;Beth Summers;1919-12-02
36093;Joan Hustace Walker;1979-04-04
36094;Charlotte Hardman;1974-10-21
36095;John Joseph Carroll;1921-02-09
36096;David Ritz;1920-09-29
36097;Christopher Dresser;1946-01-03
36098;John Powell;1983-10-09
36099;Don Mankin;1917-12-20
36100;Evelyn Dahl Reed;1924-11-27
36101;Scot Ober;1976-06-01
36102;Dave Dempsey;1967-09-23
36103;Veronica Kelly;1976-12-05
36104;John Rudolph;1986-05-20
36105;Michael Kreyling;1929-12-09
36106;Lewis MacAdams;2010-11-28
36107;Gilbert Sorrentino;1923-01-08
36108;Sheila Solomon Klass;1973-10-31
36109;Jackie Joyner-Kersee;1930-08-09
36110;J. F. Goodridge;1975-09-25
36111;Millie Stamm;1996-12-17
36112;Nancy Keene;2012-03-25
36113;Elizabeth C. Axford;2015-07-02
36114;Attila Csampai;1916-02-05
36115;Rudolph Mensah;1932-05-14
36116;George Lyttelton;1927-09-07
36117;Kathryn Wylie;1912-12-23
36118;Patricia King;1936-01-20
36119;Victor Lasky;2016-09-20
36120;Robert Beard;1978-01-24
36121;Seymour Chwast;1981-02-24
36122;Stuart R. Ellins;2019-12-27
36123;Robert L. Saunders;1911-01-02
36124;Martin W. Stockel;1930-12-13
36125;Karl R. Anderson;1999-07-15
36126;Tom Richards;1968-10-12
36127;Barbara Goldstein;1961-03-27
36128;Bronislaw Malinowski;1929-12-29
36129;Julie Kenner;1905-02-04
36130;Gary Edmundson;1949-04-01
36131;John Lawton;1930-01-07
36132;Alison Black;2012-09-06
36133;Eric McLuhan;1939-03-11
36134;Karen Mahony;1929-05-04
36135;Chuck Jones;1936-04-12
36136;Augusta Tucker;1934-08-08
36137;William Kristol;1997-03-06
36138;Sara Holbrook;1925-07-21
36139;Terrance Hayes;1938-04-03
36140;Colleen Doran;1915-09-06
36141;Benn Steil;1988-09-04
36142;W. James Potter;1945-04-13
36143;Bruce Campbell Adamson;1939-03-08
36144;Murray Newton Rothbard;2004-02-26
36145;Keith Waldrop;1962-10-11
36146;Parker Hudson;2007-09-27
36147;John Courtright;2008-12-22
36148;Frank LaGard Smith;1936-04-23
36149;Eleanor Ross;2006-01-23
36150;Mary Beth de Ribeaux;1916-02-27
36151;William J. Myles;1906-12-28
36152;Miguel Ruiz;1913-09-02
36153;Rod Barker;1938-05-25
36154;Wendy Mulford;1985-12-16
36155;Kerry A. Trask;1976-01-08
36156;Victoria J Mabin;1921-12-23
36157;Alexa Hampton;1918-01-19
36158;Awo Falokun Fatunmbi;1998-05-12
36159;Tanya Huff;1901-05-11
36160;Harold L. Lustig;1903-02-07
36161;Ronald Takaki;1956-08-19
36162;Venecia Rauls;1956-12-03
36163;R. Paul Yockey;1923-05-06
36164;Jack E Johnson, Dr.;1965-12-11
36165;Paula Danziger;1917-06-28
36166;John Arnold Kalman;1948-08-03
36167;Selig Perlman;1997-01-28
36168;Albert Burton Farnham;1916-10-21
36169;Harry Rimmer;1975-01-25
36170;Andrew Pinkham;2003-04-11
36171;Jeff Hirsch;2000-07-09
36172;Joseph W. Lstiburek;1930-06-15
36173;Arun Sethi;1946-12-04
36174;Gerald Karp;1944-02-08
36175;Louise Bagshawe;1933-10-28
36176;Mario-Paul Cassar;1996-09-21
36177;Richard Torrence;1969-02-15
36178;Ambar De Jesus;1974-02-06
36179;Dennis Miner;1919-07-19
36180;Samuel Herrick;1920-12-18
36181;Hayward Nishioka;1964-11-02
36182;Helen Garner;2007-12-13
36183;Matt Murphy;1973-11-28
36184;Stefano Biancalana;1907-06-02
36185;Julie Hansen;2015-08-13
36186;Thomas H. Garver;1979-03-27
36187;Claire Arevalo May;1949-03-25
36188;John Michael Greer;1902-06-30
36189;Bart McDowell;1936-11-04
36190;Robert Bogdan;1929-05-01
36191;Steven Pinker;1968-09-16
36192;Steve Kaplan;1910-11-26
36193;Blessed Pope Paul VI;1977-10-24
36194;Eva Golinger;1940-01-02
36195;Paul A. Scipione;1900-12-28
36196;Barbara Handy-Marchello;2020-01-27
36197;Archie J. Bahm;2003-02-28
36198;Sidney MacDonald Baker;1955-01-02
36199;Barb Bancroft;2021-01-25
36200;Barbara Stallings;1934-02-26
36201;Dan Saracino;2012-09-08
36202;Arthur Lockwood;1937-08-20
36203;Scott Smith;1991-05-11
36204;Nobuyoshi Araki;1975-12-31
36205;Tomotom;1980-12-18
36206;Robert Meeropol;1969-06-17
36207;Lucas Rivera;1984-09-06
36208;Raza Mir;1935-02-12
36209;Matthew Henry;2000-08-29
36210;James Mcfee;2005-03-19
36211;Mike Donahue;1904-04-22
36212;Carole Boston Weatherford;1957-09-13
36213;Barbara McMahon;1905-09-24
36214;Miriam Cohen;1933-11-16
36215;Harold M. Peppard;1962-09-28
36216;Masaharu Taniguchi;1947-12-18
36217;J. M. Blaut;1927-05-31
36218;Thomas J. Buckholtz;1917-10-10
36219;Simon Furman;2018-01-11
36220;Maria M. Gillan;1939-02-01
36221;Ivan Yakushin;1991-12-10
36222;Clay Blair;1929-09-25
36223;Ethel Cassell Nichols Anderson;1921-10-20
36224;W Bolinbroke Johnson;1909-08-07
36225;Leona Rostenberg;2013-06-28
36226;Caroline Blakemore;1969-10-31
36227;Gwendolyn Davies;1934-10-18
36228;International Association of Crime Writers;2016-06-09
36229;Alfred M. King;1991-07-17
36230;Lauri Berkenkamp;1911-12-18
36231;Wu Cheng-En;2017-07-31
36232;Richard Mahler;1941-07-06
36233;Ronald Charles Wolf;1993-03-14
36234;Edwin Sir Durning-Lawrence;1984-08-28
36235;Walter Karig;1982-02-25
36236;Grace H. Ketterman;1933-05-21
36237;Arnold Mindell;2021-05-25
36238;Michael David Coogan;1935-09-25
36239;Bart/ Boynton Victor (Andr);1933-11-21
36240;Barbara Hill;2018-08-08
36241;Marco Santagata;1903-02-18
36242;Brad Sears;1936-09-12
36243;Joseph Nicolosi;1975-09-27
36244;Vladimir Vladimirovich Nabokov;2020-12-28
36245;Will Henry;1935-06-21
36246;Kenneth N. Levy;1970-08-27
36247;Rita Portales;1982-05-03
36248;Michael B. Dougan;1930-03-02
36249;William L. Andrews;1945-12-27
36250;Halfdan Rasmussen;2014-07-24
36251;Annie Jacobsen;1955-11-28
36252;Diana Rowland;2003-08-23
36253;Alfred Fortino;2001-11-18
36254;Phleger F;1904-08-18
36255;Mario A. Murillo;1945-03-08
36256;Rosa Lehmann;1991-04-26
36257;Barbara Ann Perry;1981-03-06
36258;MANSUR. ABDULIN;1916-07-22
36259;Robin Sampson;1901-05-06
36260;Margaret L. Coit;1979-03-04
36261;Claudio Veliz;2002-03-11
36262;Janina K. Darling;1904-07-30
36263;Jack A. Gunn;1987-05-24
36264;Steven D. Farmer, Ph.D;1970-01-27
36265;Anna Adams;2007-07-07
36266;Janine Ellis;1975-09-22
36267;Jane Thompson;1916-07-16
36268;Alan McElroy;1991-12-20
36269;Stephen Gilligan;1932-09-06
36270;Creative Sales Corp.;1993-06-09
36271;Adam Sexton;1959-10-12
36272;Barry Keith Aldred;2009-09-10
36273;E.C. Tubb;1977-11-12
36274;Cisco Wheeler;1971-08-25
36275;John Sherwood;1909-01-16
36276;Richard S. Simons;1959-07-26
36277;Howard A. Monta;2012-09-05
36278;Achim Szepanski;1998-07-01
36279;Jeanne Guyon;2013-01-07
36280;Robert O. Hoffelt;1933-12-05
36281;William Winston;1972-09-04
36282;Francis Chan;2001-09-19
36283;Jules Gailhabaud;1952-08-27
36284;Craig Robert Evans;1948-03-02
36285;Mannie Gonsalves;1951-06-15
36286;A. Jon Kimerling;1957-05-16
36287; R. W. Stephenson ;1944-06-21
36288;David Ebin;2004-03-22
36289;Robert Greenberg;1984-05-12
36290;Will Self;1960-12-28
36291;Jo Verso;1943-10-22
36292;A. J. Quinnell;1975-04-24
36293;Hans-Michael Koetzle;2008-08-06
36294;George Perkins Marsh;1918-06-05
36295;P. T. Forsyth;1922-02-10
36296;Albert Hartshorne;1975-07-17
36297;Hinrich Rink;1993-09-05
36298;Katie Tamony;1928-07-03
36299;Lucinda Liddell;1914-04-22
36300;Burakoff & Hettrick;1932-10-25
36301;Ronald Hayman;1956-05-14
36302;Alan Hyder;1946-08-03
36303;James C. Hefley;2018-11-04
36304;Mervyn Shear;2013-10-17
36305;Helen McCully;1982-11-12
36306;Sharon Zardetto Aker;1977-10-24
36307;Rachel Robinson;1915-05-20
36308;Jordan Goldman;1995-01-22
36309;Teach Me Tapes;1922-01-05
36310;Anthony Berlant;1990-03-12
36311;Augustus J. C. Hare;2007-08-16
36312;Charles L. Knapp;1920-06-19
36313;Eric A. Glover;1924-04-05
36314;C.S. Forester;1939-04-12
36315;Chuck Rosenak;1904-06-20
36316;Hector Bolitho;1920-07-20
36317;Byron Tweeten;1912-02-22
36318;William Oscar Emil Oesterley;2016-07-30
36319;Marvin W. Meyer;1930-06-19
36320;Tara McCarthy;1968-06-20
36321;David Boaz;1960-03-23
36322;Bruce Balentine;1942-09-24
36323;Don Heimburger;1975-04-22
36324;Andy Griffiths;1995-12-25
36325;Jerry N. Williamson;1997-06-16
36326;Donna Marriott;1903-02-21
36327;Penny Haywood;1965-07-14
36328;John Moynihan Tettemer;2002-03-02
36329;W. D. Merchant;2015-05-08
36330;Mary McCarthy;2017-11-28
36331;Marjorie B. Garber;1981-06-21
