it;publisher unico;id_ubicacion
2085;Kube Publishing Ltd;114
2086;Baroda Philatelic Society;262
2087;Creative Commons;123
2088;Bobbs-Merrill Company;262
2089;GALERIE LUDWIG TROSSAERT;92
2090;Crandall Dostie & Douglass Books;66
2091;Labyrinth Press(NC);137
2092;Crippen & Landru Publishers;154
2093;Radar, Sonar and Navigation;128
2094;[New York] : Daw Books;176
2095;Charlesbridge Publishing;129
2096;Nelson Thornes;24
2097;White Wolf Games Studio;353
2098;Metropolitan Museum of Art;232
2099;Heritage Books;376
2100;Writers Exchange E-Publishing;320
2101;Wickstrom Pub;177
2102;Elkhart, Ind. : Bethel Publishing;264
2103;Cassell;226
2104;NTC/Contemporary Publishing Company;109
2105;E-Rights/E-Reads Limited;320
2106;Medina Publishing;49
2107;St. Martin's Paperbacks;351
2108;Ssar Publications;156
2109;Jove Publications;151
2110;Portfolio Press (MD);314
2111;Brookes Pub;327
2112;L.T.P. Publications;22
2113;Irrigation Training & Research Center;396
2114;The Chinese University of Hong Kong Press;344
2115;Centerwatch Incorporated;232
2116;Kregel Classics;21
2117;Read Books;63
2118;Windsong PressLtd;348
2119;Kyle Cathie Limited;372
2120;Riveroak Pub;113
2121;TAMU Press;380
2122;Dayspring;200
2123;deSingel;247
2124;Sophia Institute Press;364
2125;Chivers North America;63
2126;Gestalt Journal Press;310
2127;Jangen Press;246
2128;Mountain Press;232
2129;New York : Dutton;260
2130;Ivan R Dee;41
2131;Meyerbooks, Publisher;331
2132;Gramercy Books;90
2133;Carol Publishing Corporation;83
2134;Dark Horse Comics;97
2135;Saint Martin's Paperbacks;57
2136;Siddha Yoga Publications;99
2137;Jews for Jesus;40
2138;Macmillan Pub Limited;273
2139;Crossroad Publishing Company;279
2140;LAP Lambert Academic Publishing;390
2141;HMH Books For Young Readers;314
2142;Word Assn Pub;375
2143;Kodansha International;150
2144;Phaidon Press;262
2145;ColoringArtist.com;94
2146;Our Sunday Visitor Publishing;10
2147;Wizards of the Coast;391
2148;London : Mayflower;121
2149;Reprint Company Publishers;270
2150;Bethany House;272
2151;SkyLight Paths Publishing;43
2152;Harvard Common Press;268
2153;Dc Comics;368
2154;Skylark;130
2155;University of Virginia Press;39
2156;Verso Books;76
2157;St. Martin's Essentials;335
2158;Educreation Publishing;95
2159;Gold Eagle;76
2160;Planeta Publishing Corporation;289
2161;Verba Mundi;209
2162;John a Noble Collection;146
2163;My Joy Enterprises;114
2164;Wilder Publications Limited;183
2165;Western Michigan Univ Medieval;138
2166;Vos & Schoemaker;297
2167;Barnes & Noble Incorporated;169
2168;Avery;228
2169;Manteau Jeugd;394
2170;Souvenir PressLtd;299
2171;Northern Book Centre;110
2172;New York : Hebrew Pub.;73
2173;Polka Dot Press;59
2174;Dayone C/O Grace Books;27
2175;RP Books & Audio;191
2176;Classic Good Books;53
2177;V&R unipress GmbH;156
2178;Alfred Music;49
2179;Autumn House Publishing;276
2180;Society for Industrial & Applied;106
2181;Broadway;174
2182;Gestalten Verlag;115
2183;Farrar, Straus & Giroux (BYR);241
2184;Emily Martinsen;66
2185;W B E Z Alliance Incorporated;376
2186;Insight Publishing Company;85
2187;Schiffer Book for Collectors;393
2188;Crown Business;307
2189;Praeger Pub Text;127
2190;Saunders W.B.;54
2191;Temple Lodge Publishing;152
2192;Atlantic Books Ltd;279
2193;T.A. Daly Studio;50
2194;Morgan James Publishing;103
2195;Trafalgar Square Pub;342
2196;Dark Harvest Books;244
2197;Untreed Reads;277
2198;SciTech Publishing;31
2199;White Dei;163
2200;Gaoa & Friends Incorporated;71
2201;Walter Foster;327
2202;Dean Street Press;98
2203;Mc PressLlc;369
2204;Bedford/st Martins;269
2205;Island Press;395
2206;BJU Press;124
2207;RH/Disney;387
2208;Ishi Press;244
2209;New Holland Books;294
2210;Kensington Books;394
2211;Manga University;346
2212;Picture Book Studio;182
2213;Cowboy Mouth Pub;155
2214;White Diversified Engineering;175
2215;Holloway House Publishing;347
2216;Athelia Henrietta Press;95
2217;Senta Maria Runge;216
2218;Becker & Mayer Books;71
2219;Lothrop Lee & Shepard;374
2220;Dinah Dinwiddie;397
2221;Peter Pauper Press;242
2222;Triad Pub USA Incorporated;225
2223;Artech House Communications Li;286
2224;Marmer;147
2225;Brian Bohlman;318
2226;ISD LLC;237
2227;Manteau thriller;170
2228;Everything;399
2229;Fir'shan Publishing;150
2230;McGraw-Hill Professional Pub;322
2231;Running Press Miniature Editions;300
2232;AAA;383
2233;Putnam Adult;328
2234;Editions Moulinsart;313
2235;Roberts Rinehart;54
2236;London : J. Murray;120
2237;Van Patten Publishing;296
2238;Crystal Clarity Pubs;106
2239;Camden East, Ont. : Camden House Pub.;386
2240;Bruce Museum;228
2241;Amistad;237
2242;Otakada Inc;69
2243;The Mountaineers Books;267
2244;Hazelden Publishing;362
2245;New York, : Simon and Schuster;398
2246;University of Hawaii Press;327
2247;Dutton Childrens Books;184
2248;Eburon Uitgeverij B.V.;200
2249;Crossway Bibles;126
2250;College Press Publishers (ZW);80
2251;Sterling Publishing (NY);73
2252;Techniques and Purposes;205
2253;arsenal pulp press;219
2254;Groundwood Books Ltd;149
2255;Artech House Publishers;215
2256;Sixth & Spring Books;82
2257;London, UK : Karnak House;95
2258;New Issues Poetry & Prose;155
2259;Hodder & Stoughton;378
2260;Bmm;224
2261;Hervey's Booklink;61
2262;Audio Amateur Publications;167
2263;Large Print Press;202
2264;TEACH Services, Inc.;256
2265;Acanthus PressLlc;84
2266;Scarborough House;365
2267;Harpercollins Pub Limited;282
2268;Bruce Hershenson;264
2269;Progress in Astronautics and A;11
2270;Zingerman's Press;159
2271;Ray Balbes;365
2272;Publish Indy;55
2273;Starrhill Press;313
2274;New Rochelle, N.Y : Arlington House;179
2275;Euromoney Publications;241
2276;Author's Choice Publishing;68
2277;The O'Brien Press;13
2278;Hutman Productions;317
2279;National Council of Teachers;147
2280;Idea & Design Works Llc;150
2281;Writers Digest Books;105
2282;Bethel Publishing;395
2283;Quest Books;104
2284;Uitgeverij Christofoor;201
2285;Dutton;215
2286;Cambridge Stanford Books;141
2287;The Overmountain Press;191
2288;Saint Mary's Press;359
2289;New York York : D. Appleton;202
2290;Spark Publishing Group;182
2291;Turner Publishing Company;244
2292;New York : McGraw-Hill;191
2293;Chain Sales Marketing;138
2294;Coastalfields Press;363
2295;Sams.Net Software;5
2296;Random House LLC;337
2297;Clear Press Ltd;102
2298;Apple;337
2299;Best Paw Forward Dog Education Inc.;377
2300;Menken Kasander & Wigman;42
2301;Pen & Sword;67
2302;Merriam Webster Mass Market;68
2303;Potter Style;389
2304;Good Night Books;47
2305;Infobase Publishing;67
2306;Samuel French , Incorporated;171
2307;Robert Reed Pub;333
2308;Wagner Publications;194
2309;editorips@usp.ac.fj;288
2310;Dau Pub;135
2311;Harbour Publishing Company;195
2312;PublishingWorks;273
2313;Presidio Press;174
2314;Hayes Publishing Company, Incorporated;392
2315;Van Nostrand Reinhold Company;146
2316;Bill West;226
2317;TokyoPop;251
2318;Big Fish;198
2319;Jewish Publication Society of America;360
2320;Ducasse Books;260
2321;Beowulf, Incorporated;69
2322;Baker's Plays;102
2323;Harvard Business Review Press;371
2324;DDC Publishing;225
2325;O'Reilly;113
2326;Uitgeverij Van Gorcum;73
2327;Ventura, Calif., U.S.A. : Regal Books;333
2328;Benjamin-Cummings Publishing Company;72
2329;Howell Book House;302
2330;Thru the Bible;199
2331;August House Pub Incorporated;254
2332;Full Moon Publications;66
2333;Blue Mountain Arts;362
2334;Helena Hunting;224
2335;Wyatt North Publishing, LLC;194
2336;Thunder Bay Press;353
2337;Harpercollins Childrens Books;396
2338;Penguin Press HC;389
2339;Front Street Incorporated;303
2340;ibooks;163
2341;Times Books;301
2342;Vertigo;379
2343;Thames & Hudson;11
2344;Western Literature;208
2345;Rosetta Books;373
2346;Infinity Fiction;397
2347;Jazzybee Verlag;191
2348;Global Economics Ltd.;92
2349;William Andrew Pub;165
2350;Time Life Education;165
2351;Oriel Incorporated;222
2352;London : N. Spearman;182
2353;Harriman House Limited;223
2354;Int. Rice Res. Inst.;380
2355;Flying Cloud Pub;304
2356;Amer Chemical Society;221
2357;Lily Zante;364
2358;Childrens Press;142
2359;Webster's New World;36
2360;New Riders Pub;87
2361;Mithec;195
2362;William Morrow &Company;257
2363;Defy the Dark Publishing, LLC;120
2364;Penguin Workshop;135
2365;Voyager Books;341
2366;The Hermit Kingdom Press;286
2367;Mometrix Media LLC;97
2368;Padma Publishing;202
2369;The Teitan Press, Inc.;374
2370;American Psychiatric Pub;255
2371;New England PressInc;373
2372;Sky Publishing Corporation;121
2373;Equator;392
2374;Christian Comic Books;53
2375;New York : Macmillan Publishing Company;250
2376;Human Givens;255
2377;Die Gestalten Verlag;80
2378;Osborne Publishing;84
2379;Goodheart-Willcox Pub;76
2380;Editions Gallimard;90
2381;Lannoo Uitgeverij;81
2382;David & Charles Uk;26
2383;Feminist Press;179
2384;Coriolis Group Books;212
2385;Althea Press;18
2386;Spring Publications;290
2387;Pandora Press;90
2388;Markham, Ont. : Viking;98
2389;Walsworth Publishing Company;246
2390;David Stanley;293
2391;Paraglyph Press;89
2392;Amherst Media;324
2393;Troubador Publishing Ltd;265
2394;Hawaiian Heritage Press;375
2395;Diversion Books;372
2396;Kodansha Comics;12
2397;Beacon Hill Press;58
2398;Self Realization Fellowship Pub;168
2399;Bounty Books;337
2400;Childs World Incorporated;110
2401;FaithWords;178
2402;Free Spirit Publishing;213
2403;Sensory Pub Incorporated;242
2404;Cmx;115
2405;Amer Language Press;65
2406;HP Trade;37
2407;Arco;77
2408;Levite of Apache Pub;129
2409;Random House UK;19
2410;Craftsman House (AU);64
2411;Haynes Publishing UK;118
2412;Ten Rivers Pub;42
2413;Watson-Guptill Publications;46
2414;Princeton Architectural Press;216
2415;Noor Al-Shanti;217
2416;South Asia Books;21
2417;JG Kids;212
2418;Heinemann;211
2419;Harlequin Kimani;23
2420;Tata McGraw-Hill Education;265
2421;Kingfisher;206
2422;Amer Eagle Publications Incorporated;291
2423;Zenith Press;23
2424;*Red Hat;176
2425;Bruce Klein;131
2426;Karnac Books;179
2427;Wingspread Pub;224
2428;Motilal Banarsidass Publ.;369
2429;Cisco Press;269
2430;DARcorporation;182
2431;Digital Press;277
2432;U'd Syn Conservative Judaism;232
2433;Millefleurs;19
2434;International Monetary Fund;277
2435;Orchard House Press;2
2436;Zee Publishing;24
2437;National Assn of Social Workers Press;102
2438;Margaret K. McElderry Books;299
2439;National Learning Corporation;114
2440;McGraw-Hill Humanities Social;241
2441;Multnomah Books;329
2442;Rebo International;237
2443;Bookemon;209
2444;Instructional Fair;345
2445;WW Norton;54
2446;Mesorah Publications Limited;179
2447;Scholastic UK;317
2448;Interlink Publishing Group Incorporated;169
2449;IBM Redbooks;11
2450;Magnus Press;123
2451;Amer Sciences Press;61
2452;Countryman Press;155
2453;Back Stage Books;198
2454;Penguin Global;339
2455;New York : Neal-Schuman Publishers;321
2456;Ziff Davis Press;24
2457;K G Saur Verlag Gmbh & Company;175
2458;Liberties Press;301
2459;Da Capo;93
2460;Lawyers & Judges Publishing;37
2461;Franklin Classics Trade Press;363
2462;Aspen Pub;17
2463;GUERILLA GROWING FOR BEGINNERS;190
2464;Syngress Press;108
2465;Fairleigh Dickinson Univ Press;335
2466;W G Nichols Pub;378
2467;Bloomberg Press;20
2468;Oxford : Heinemann;83
2469;Schiffer Design Books;186
2470;5th Corner Publishing;5
2471;Quarry Books;266
2472;Pomegranate Communications;353
2473;Hill Street Press;52
2474;Libraries Unltd Incorporated;343
2475;Esprit De Equestre;339
2476;Meyer & Meyer Verlag;238
2477;Lemrac Books;230
2478;Editions ENI;383
2479;Dalkey Archive Press;369
2480;LucasBooks for Young Readers;113
2481;Enigma Books;354
2482;Darolt Books;72
2483;Twayne Publishers;188
2484;테마여행신문 TTN Theme Travel News Korea;59
2485;Pennwell Corporation;385
2486;Austin : University of Texas Press;365
2487;Wallach Art Gallery;250
2488;Penguin Books Limited;32
2489;Greenshoot Investments Pty;341
2490;Wiley Publishing;273
2491;RILEY HALL;133
2492;Cengage Learning Ptr;183
2493;Que;169
2494;SIAM;32
2495;Great Books in Philosophy;306
2496;CRDG;330
2497;Sheba Blake Publishing;111
2498;Wordsworth Poetry Library;339
2499;Pocket Canon;47
2500;"New York ; Toronto : McGraw-Hill";173
2501;Lucasbooks;172
2502;Pro Ed;175
2503;Lars Müller Publishers;83
2504;Stratton Kehl Publications Incorporated;37
2505;Badger Books Inc.;236
2506;Nosy Crow;223
2507;Alyson Publications;196
2508;No Starch Press;56
2509;Totalrecall Publication Incorporated;245
2510;McDougal Littell/Houghton Mifflin;327
2511;Real Women Scrap;197
2512;Determined Productions;193
2513;Marboro Books;14
2514;Sotopia;256
2515;Gale, Cengage Learning;210
2516;Henry Z. Walck, Incorporated;62
2517;NewSouth Books;42
2518;Teaching Resources;102
2519;HQN Books;357
2520;Metro Books;201
2521;Presbyterian & Reformed Publishing Company;168
2522;Urj Press;244
2523;Spc Press;254
2524;W.H. Freeman;235
2525;Hilliard & Harris Pub;133
2526;Bertelsmann Foundation Publishers;353
2527;Carlton Publishing Group;8
2528;Yellow Cat Pub;357
2529;[Montréal] : Véhicule Press;225
2530;Studies in Analytic Philosophy;24
2531;Christian Board of Publication;285
2532;Harper Perennial Modern Classics;350
2533;Interlink Books;235
2534;How to Be a Working;136
2535;Marshall Cavendish;13
2536;Hodder;132
2537;Trinity Press International;237
2538;Speedy Publishing LLC;250
2539;Key Curriculum Press;337
2540;Baker Publishing Group (MI);296
2541;Current Clinical Strategies Pub;315
2542;Editorial Everest;376
2543;Consumer Guide Books Pub;210
2544;Stan Clark Military Books;367
2545;Agate Publishing;293
2546;Guideposts;85
2547;University Editions;108
2548;Taschen;282
2549;Oxford : Oxford University Press;275
2550;AAPC Publishing;63
2551;Wdl Publications;331
2552;IVP Academic;36
2553;St Marys Press;257
2554;Amg Pubs;336
2555;"San Francisco, CA : Backbeat Books ; Berkeley, CA : Distributed to the book trade in the U.S. and Canada by Publishers Group West ; Milwaukee, WI : Distributed to the music trade in the U.S. and Canada by Hal Leonard Pub.";8
2556;Crown Archetype;76
2557;Black Classic Press;2
2558;Fifth Ray Publishing;277
2559;NOLO;343
2560;Independent Inst;47
2561;Wrox Press;187
2562;Skira - Berenice;97
2563;Incentive Publications;103
2564;Ludwig von Mises Institute;273
2565;University of Nebraska Press;146
2566;tredition;32
2567;Authorlink Press;133
2568;Kogan Page Limited;381
2569;Tor Science Fiction;324
2570;Berghahn Books;31
2571;Sbs Pub;72
2572;Shining Light Press;197
2573;BearManor Media;82
2574;New Harbinger  Publications;42
2575;North Country Press;193
2576;Popular Culture Incorporated;51
2577;Whitaker Distribution;351
2578;New York : C. Scribner's Sons;387
2579;AVA Publishing;143
2580;Uitgeverij Elmar;48
2581;Printed Matter;299
2582;Arrow Map;354
2583;LearnToPlayMusic.com;244
2584;Warner Books (NY);392
2585;Seven Dials;387
2586;Feminist Press at CUNY;79
2587;Yatir Nitzany;115
2588;Carcanet;82
2589;Rangjung Yeshe Publications;354
2590;Soft Skull;59
2591;Haylee Thorne;393
2592;Gougeon Brothers;51
2593;Spacecraft Components Corporation;96
2594;Darby Creek ™;205
2595;Asylum Arts Pub;168
2596;Programmers Mind || Harry H. Chaudhary.;376
2597;Addison Wesley;399
2598;Insight Pocket Guides;320
2599;Glorian Publishing;42
2600;Kimani Sepia;119
2601;Alpha Pub Incorporated;357
2602;Willowdale, Ont. : Firefly Books;275
2603;Otto Harrassowitz Verlag;175
2604;Oxbow Books;85
2605;Holt Rinehart & Winston;337
2606;Discover Your Northwest;38
2607;Howard Books;394
2608;Variocity;390
2609;Stoddart Pub;32
2610;Foundation Press;372
2611;Weyer International;338
2612;Pan Australia;197
2613;Big Heart Corporation;312
2614;Catholic Way Publishing;268
2615;Writer's Digest Books;305
2616;Seven Seas Entertainment;139
2617;Diamond Books (NY);101
2618;Saxon Publishers;87
2619;Fairchild Books;72
2620;Survival Books;4
2621;Gower Publishing Company, Limited;252
2622;School for Advanced Research on the;36
2623;Billboard Books;243
2624;Schiffer Military History;79
2625;Hodder Education;400
2626;APA Books;174
2627;Konecky & Konecky;227
2628;Black Rose Books Limited;107
2629;WestBowPress;54
2630;Kosei Pub;147
2631;Baldini & Castoldi ;38
2632;Primedia Scrapbooking;154
2633;Seagrass Press;153
2634;DIANE Publishing Company;376
2635;ATL Press;31
2636;Diversion Publishing Corp.;23
2637;Die Gestalten Verlag-DGV;24
2638;Usborne Pub Limited;44
2639;Doubleday;286
2640;Da Capo Lifelong Books;102
2641;CCV Digital;238
2642;Millennium Orion Publishing Group;233
2643;Authorlink;127
2644;Lucia St. Clair Robson;259
2645;Allen & Unwin;244
2646;Small Press United;86
2647;Willow Creek Press;54
2648;Hillcrest Publishing Group;126
2649;Sabbagh Mgmt Corporation;362
2650;Los Angeles : Nash Pub;225
2651;Boydell & Brewer Ltd;66
2652;Partridge Publishing Singapore;14
2653;Advance Publishers LLC;102
2654;Woodrow Wilson Center Press;67
2655;Players Press;141
2656;Riley Hall Partners;167
2657;Dundurn;345
2658;Girard & Stewart;72
2659;Gwb Pub;189
2660;'The Rosen Publishing Group, Inc';315
2661;NC Press;354
2662;Crossroad Press;70
2663;Saxon Pub;267
2664;New Seeds;100
2665;John Benjamins Publishing Company;238
2666;Sandra V. Bondhus;152
2667;New Scientist;136
2668;Russia Heritage Collection North Dakota State University Lib;320
2669;celebrity profiles publilshing;91
2670;Osprey Publishing;28
2671;Inner City Books;253
2672;Minerva Press (UK);231
2673;Triumph Books;337
2674;Veloce;123
2675;Crane Hill Pub;251
2676;Ivan R. Dee Publisher;209
2677;Vantage Press;352
2678;Simon Spotlight Entertainment;101
2679;British Film Inst;71
2680;The Feminist Press at CUNY;320
2681;Pimsleur;214
2682;Temple University Press;287
2683;Portland Museum of Art;12
2684;Random House Large Print Publishing;213
2685;Рипол Классик;25
2686;Orbis Books;163
2687;UNSW Press;258
2688;KNP;245
2689;Juniata College Press;204
2690;Debolsillo;346
2691;Gibbs Smith;276
2692;The eBook Sale;143
2693;Landmark Law Cases & American;82
2694;Company's Coming Publishing Limited;100
2695;Onion Press, Incorporated;357
2696;Skyhorse Publishing Company Incorporated;101
2697;J. Wiley & Sons Canada;280
2698;James Currey;363
2699;Black Dog & Leventhal Pub;210
2700;McClelland & Stewart;170
2701;Hazelden Publishing & Educational Services;217
2702;Media Marketing Group;375
2703;Packt Publishing Ltd;257
2704;Horizon Book Promotions;6
2705;Coaches Choice Books;255
2706;Grub Street Publishers;53
2707;Gyan Publishing House;220
2708;Loeb Classical Library;347
2709;Altimira;14
2710;Brooklands Books Limited;87
2711;NRD Publishing;260
2712;Modernista;190
2713;GameWizards Press;124
2714;Hope of st Monica Incorporated;335
2715;Pushcart Prize Anthologies;276
2716;DC;267
2717;SIU Press;80
2718;Hackett Publishing Company;54
2719;GCB Publishing Group;180
2720;CABI;39
2721;Daniel & Daniel Pub;370
2722;Isf Publishing;241
2723;Addax Publishing Group Incorporated;169
2724;Ducks Unlimited Incorporated;353
2725;Fourth Estate Classic House;319
2726;Reedswain;292
2727;John Wiley and Sons;347
2728;Phoenix;33
2729;LA-Vibe Publishing;232
2730;KAMAN Turkish Series;164
2731;Amer Financial Press;216
2732;Nam H Nguyen;384
2733;Productive Fitness Pub;283
2734;Starstream Publications / Book View Cafe;359
2735;Miramax Books;362
2736;Evie the Strawberry Fairy;372
2737;ASM International;285
2738;American Ethical Union;71
2739;Prentice-Hall PTR;20
2740;McGraw-Hill/Osborne Media;29
2741;Pavilion Books, Limited;128
2742;David Beasley;369
2743;Virtual Bookworm.Com Pub Incorporated;293
2744;Friedman/Fairfax Pub;200
2745;Erica House;190
2746;Pagefree Pub Incorporated;249
2747;Octagon Press, Limited;250
2748;Spark Notes;121
2749;Copper Canyon Press;324
2750;New Millenium;398
2751;Dahlin & Assc Pub;366
2752;Home Planners, LLC;61
2753;Maisy;306
2754;Oxford University Press - Children;116
2755;Square One Publishers, Inc.;12
2756;John Wiley & Son Limited;149
2757;Sams Technical Publishing;105
2758;Bloomsbury Paperbacks;320
2759;Farrar Straus & Giroux;151
2760;Lincoln : University of Nebraska Press;12
2761;Greenhill Books;205
2762;Brazos Press;181
2763;Larousse Kingfisher Chambers;85
2764;New York : Paragon House;314
2765;Tudor Communications;33
2766;Saunders;265
2767;Newsouth Incorporated;260
2768;Egmont Books (UK);156
2769;Timothy L Johnson;240
2770;Aquinas Publishing;216
2771;Thenetworkadministrator.Com;190
2772;Philadelphia : Jewish Publication Society of America;141
2773;Eclipse Press;94
2774;Bell;200
2775;Doubleday Books for Young Readers;28
2776;Syle Press;154
2777;Basic Books (AZ);330
2778;Library of American Fiction;83
2779;Poisoned Pen Press Inc;273
2780;Addictives – Luv;353
2781;Medicine Bear Pub;320
2782;Voyageur Press;223
2783;Pages Publishing Group;84
2784;Gracewing Publishing;226
2785;South End Press;239
2786;Hay House Incorporated;133
2787;Pen and Sword;365
2788;Harper & Collins;286
2789;W B Saunders Company;242
2790;High/Scope Foundation;359
2791;UNM Press;136
2792;DS Brewer;391
2793;Garant;146
2794;Threshold Editions;7
2795;Vintage Espanol;367
2796;Bedside Books;399
2797;Music Sales Corporation;119
2798;West Group;237
2799;Resource Pub;196
2800;Shadow Mountain;51
2801;Kregel Academic & Professional;9
2802;"New York : Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks";294
2803;Don Camillo Series;50
2804;Feiwel & Friends;265
2805;Podium Uitgeverij;302
2806;Rowman Altamira;346
2807;Richard Dennis Publications Di;329
2808;random harvest;303
2809;"Oxford [Oxfordshire] ; New York : Pergamon";227
2810;HarperColl;285
2811;NYRB Classics;313
2812;Richard N. Wolman, PhD;131
2813;Authentic Media;7
2814;Pavilion Books Limited;366
2815;Wadsworth;111
2816;Everyman Chess;377
2817;Siglo XXI;59
2818;Context;70
2819;Mint Editions;119
2820;Crowood Press UK;302
2821;Random House India;193
2822;Fordham Univ Press;117
2823;Editions Larousse (FR);136
2824;Z&K;76
2825;Smithmark Pub;159
2826;Liberty Fund;182
2827;Peter Cat Books Llc;112
2828;Lectorum Publications;359
2829;Oram Productions;352
2830;Dafina;39
2831;Museu De Arte Contemporaneo De;288
2832;Emmett Eiland's Rugs;252
2833;Spectrum Of Thoughts;93
2834;Digital Manga Publishing;36
2835;Surrey, B.C. : Productive Fitness Products;206
2836;Vanderbilt University Press;44
2837;Helter Skelter Limited;141
2838;National Geographic;65
2839;Summer Inst of Linguistics;244
2840;Mark Dice;246
2841;Cliffs Notes;24
2842;Zeig Tucker & Theisen Publishers;140
2843;Evergreen Press (CA);364
2844;Nanaimo, B.C. : Loonbook by Island Art Creations;223
2845;Carroll & Brown Pub Limited;191
2846;Garden City, N.Y. : Doubleday;234
2847;Ram Tirth Mission, New Delhi, India;268
2848;Erica House Book Pub;3
2849;Power Glide;95
2850;Ken Ross;312
2851;KADOKAWA;121
2852;Goals Unlimited Publishing;355
2853;Ediciones Universidad de Salamanca;38
2854;Lantern Publishing & Media;364
2855;Voyageur Press (MN);348
2856;National Assn for the Education;98
2857;Crown Forum;57
2858;Gale;209
2859;Jm Productions;379
2860;Que Corporation;399
2861;University of Wisconsin Press;60
2862;Hudson Pub;189
2863;Frontiers Media SA;224
2864;[Philadelphia] : Xlibris;134
2865;Yardbird;7
2866;Creaxion;60
2867;Willowisp Press;337
2868;books catalog;230
2869;Crown House Publishing;26
2870;Brad Vance;304
2871;Gospel Light Publications;129
2872;Zondervan Publishing Company;397
2873;Books Nippan;17
2874;Aglow International;175
2875;Chrysalis Books Group;228
2876;SP Books;9
2877;West Academic Publishing;8
2878;Quilt in a Day.;201
2879;Destiny Publishing Company;277
2880;Urban Land Inst;373
2881;Dar Al Kotob Al Ilmiyah دار الكتب العلمية;27
2882;Schwabe AG;221
2883;Pen and Sword Transport;391
2884;Sage Publications (CA);260
2885;Jonathan David Pub;339
2886;WaterBrook;34
2887;John F. Blair, Publisher;54
2888;Selah Publishing Group;198
2889;New York : Sheed and Ward;342
2890;Farrar, Straus and Giroux (BYR);372
2891;The Monacelli Press, LLC;208
2892;Windstorm Creative;25
2893;Uitgeefmij Kok ten Have;267
2894;Penguin Mass Market;68
2895;Covenant Communications;283
2896;Julian Dibbell;18
2897;Amer Book Pub;97
2898;United Synagogue of America Book Service;97
2899;Travelsmart;100
2900;IBRU;384
2901;South-Western Pub;115
2902;Pika Mountaineering;172
2903;Vanguard Press;47
2904;Blue Works;131
2905;Nbm Publishing Company;294
2906;Boat Angel Outreach Center;122
2907;"New York : Schirmer Books ; London : Collier Macmillan";291
2908;Continuum;251
2909;Ibooks for Young Readers;297
2910;McGraw-Hill Book Company Australia;243
2911;SF Nonfiction Books;325
2912;NeWest Publishers;152
2913;Advocate Books;375
2914;NBD Biblion Publishers;36
2915;Atlantic Monthly Press;135
2916;IVP Books;48
2917;Harcourt Brace;161
2918;Tundra Books;266
2919;Lyle McDonald;221
2920;Martinus Nijhoff Publishers;14
2921;I. K. International Pvt Ltd;341
2922;Betterway Publications;310
2923;Hackett Publishing Company Incorporated;226
2924;Idea Publishing;344
2925;Nan A. Talese;28
2926;Uitgeverij Verloren;350
2927;Michael O'Mara Books;89
2928;Casino Vacations Press;260
2929;Laurel;339
2930;Ed Rosenthal;151
2931;Conscious Books;123
2932;Calder Publications Limited;137
2933;Coward Mc Cann;143
2934;Detective Inspector Carol Asht;124
2935;Cennet Systems Pub;245
2936;Facts on File;231
2937;Health Communications, Inc.;174
2938;Neshui Pub;80
2939;Parker Publishing Company;152
2940;In the Beginning Quilts Incorporated;345
2941;Lindisfarne Books;349
2942;Kirk House Publishers;6
2943;Yen Press;345
2944;Taschen America Llc;308
2945;Cune Press;282
2946;Winterwolf Pub;311
2947;Amer Express Food & Wine Corporation;117
2948;Griffin Publishing Group;138
2949;River Publishers Signal, Image;328
2950;Publications International Limited;346
2951;U OF M MUSEUM ANTHRO ARCHAEOLOGY;85
2952;Classic Wisdom Reprint;47
2953;Stage Partners;5
2954;Dearborn Trade;70
2955;Zumaya Publications;29
2956;Fisherman Library;302
2957;CCH Canadian Limited;379
2958;Northwest Pub;196
2959;James Gang Publishing;264
2960;Dearborn Real Estate;350
2961;"New York : Macmillan ; London : Collier Macmillan Publishers";303
2962;Lucis Publishing Companies;49
2963;New York : Reinhold Publishing Corporation;265
2964;Boston Houghton Mifflin Company 1949.;273
2965;Victoria Koch;9
2966;Barron's Educational Series, Incorporated;182
2967;Maypop;380
2968;Amer College of Physician;143
2969;FV Éditions;147
2970;Tate;71
2971;Oxford, Clarendon Press;105
2972;Lifestar;229
2973;Kansas City Star Books;17
2974;C & T Pub;289
2975;Philadelphia Church of God;178
2976;J. Countryman;37
2977;Contemporary Authors New Revis;236
2978;Metuchen, N.J. : Scarecrow Press;259
2979;Ampersand, Incorporated;139
2980;Lyrical Underground;280
2981;New York : Dodd, Mead;345
2982;Beach Lane Books;68
2983;Fernhurst Books;5
2984;Ernst Klett Sprachen;261
2985;Frances Lincoln Children's Bks;88
2986;Airmont Publishing Company;92
2987;Crossing Press;274
2988;Camden House Pub;230
2989;Rural America;247
2990;Maypop Books;258
2991;Walk in Peace;244
2992;Waterside Press;265
2993;Vikas Publishing House;285
2994;C&T Publishing Inc;400
2995;Bookouture;180
2996;Tabor Sarah Books;332
2997;Streams Publishing Company;315
2998;Happy Camp, Calif. : Naturegraph Publishers;122
2999;Theatre Communications Group - Playwrights Canada Press;283
3000;Guilford Press;20
3001;Hueber Verlag;181
3002;Brady;110
3003;Roadside Geology;86
3004;Camden House;177
3005;Canongate Books Limited;159
3006;Heyday;73
3007;Random House Trade Paperbacks;305
3008;Frommer;180
3009;Kensington Books              ;135
